symbol,offset_bin_start_ms,offset_bin_end_ms,trades,share_of_all_trades
PYBOBOUSDT,-130,-120,1,1.498306913e-05
PYBOBOUSDT,-120,-110,2,2.996613826e-05
PYBOBOUSDT,-110,-100,3,4.49492074e-05
PYBOBOUSDT,-100,-90,1,1.498306913e-05
PYBOBOUSDT,-90,-80,5,7.491534566e-05
PYBOBOUSDT,-80,-70,1,1.498306913e-05
PYBOBOUSDT,-70,-60,1,1.498306913e-05
PYBOBOUSDT,-60,-50,1,1.498306913e-05
PYBOBOUSDT,-50,-40,2,2.996613826e-05
PYBOBOUSDT,-40,-30,6,8.989841479e-05
PYBOBOUSDT,-30,-20,2,2.996613826e-05
PYBOBOUSDT,-20,-10,0,0
PYBOBOUSDT,-10,0,1,1.498306913e-05
PYBOBOUSDT,0,10,0,0
PYBOBOUSDT,10,20,2,2.996613826e-05
PYBOBOUSDT,20,30,0,0
PYBOBOUSDT,30,40,1,1.498306913e-05
PYBOBOUSDT,40,50,2,2.996613826e-05
PYBOBOUSDT,50,60,4,5.993227653e-05
PYBOBOUSDT,60,70,1,1.498306913e-05
PYBOBOUSDT,70,80,2,2.996613826e-05
PYBOBOUSDT,80,90,3,4.49492074e-05
PYBOBOUSDT,90,100,2,2.996613826e-05
PYBOBOUSDT,100,110,0,0
PYBOBOUSDT,110,120,3,4.49492074e-05
PYBOBOUSDT,120,130,2,2.996613826e-05
PYBOBOUSDT,130,140,4,5.993227653e-05
PYBOBOUSDT,140,150,4,5.993227653e-05
PYBOBOUSDT,150,160,2,2.996613826e-05
PYBOBOUSDT,160,170,3,4.49492074e-05
PYBOBOUSDT,170,180,2,2.996613826e-05
PYBOBOUSDT,180,190,0,0
PYBOBOUSDT,190,200,2,2.996613826e-05
PYBOBOUSDT,200,210,4,5.993227653e-05
PYBOBOUSDT,210,220,4,5.993227653e-05
PYBOBOUSDT,220,230,0,0
PYBOBOUSDT,230,240,15,0.000224746037
PYBOBOUSDT,240,250,8,0.0001198645531
PYBOBOUSDT,250,260,3,4.49492074e-05
PYBOBOUSDT,260,270,2,2.996613826e-05
PYBOBOUSDT,270,280,2,2.996613826e-05
PYBOBOUSDT,280,290,2,2.996613826e-05
PYBOBOUSDT,290,300,2,2.996613826e-05
PYBOBOUSDT,300,310,4,5.993227653e-05
PYBOBOUSDT,310,320,2,2.996613826e-05
PYBOBOUSDT,320,330,6,8.989841479e-05
PYBOBOUSDT,330,340,5,7.491534566e-05
PYBOBOUSDT,340,350,3,4.49492074e-05
PYBOBOUSDT,350,360,0,0
PYBOBOUSDT,360,370,5,7.491534566e-05
PYBOBOUSDT,370,380,3,4.49492074e-05
PYBOBOUSDT,380,390,1,1.498306913e-05
PYBOBOUSDT,390,400,3,4.49492074e-05
PYBOBOUSDT,400,410,3,4.49492074e-05
PYBOBOUSDT,410,420,1,1.498306913e-05
PYBOBOUSDT,420,430,1,1.498306913e-05
PYBOBOUSDT,430,440,1,1.498306913e-05
PYBOBOUSDT,440,450,1,1.498306913e-05
PYBOBOUSDT,450,460,0,0
PYBOBOUSDT,460,470,1,1.498306913e-05
PYBOBOUSDT,470,480,2,2.996613826e-05
PYBOBOUSDT,480,490,1,1.498306913e-05
PYBOBOUSDT,490,500,0,0
PYBOBOUSDT,500,510,7,0.0001048814839
PYBOBOUSDT,510,520,0,0
PYBOBOUSDT,520,530,0,0
PYBOBOUSDT,530,540,1,1.498306913e-05
PYBOBOUSDT,540,550,3,4.49492074e-05
PYBOBOUSDT,550,560,3,4.49492074e-05
PYBOBOUSDT,560,570,5,7.491534566e-05
PYBOBOUSDT,570,580,4,5.993227653e-05
PYBOBOUSDT,580,590,4,5.993227653e-05
PYBOBOUSDT,590,600,2,2.996613826e-05
PYBOBOUSDT,600,610,3,4.49492074e-05
PYBOBOUSDT,610,620,3,4.49492074e-05
PYBOBOUSDT,620,630,2,2.996613826e-05
PYBOBOUSDT,630,640,1,1.498306913e-05
PYBOBOUSDT,640,650,5,7.491534566e-05
PYBOBOUSDT,650,660,6,8.989841479e-05
PYBOBOUSDT,660,670,5,7.491534566e-05
