phase_seconds_after_five_minute_boundary,possible_anchors,wide_window_hits,wide_window_hit_share,core_populated_boundaries,core_both_legs_boundaries,opposite_taker_side_boundaries,balanced_50_boundaries,balanced_70_boundaries,balanced_80_boundaries,balanced_90_boundaries,balanced_95_boundaries,balanced_99_boundaries,wide_window_overlaps_target_boundary
153,8640,77,0.008912037037,21,0,0,0,0,0,0,0,0,false
154,8640,62,0.007175925926,16,1,1,0,0,0,0,0,0,false
155,8640,76,0.008796296296,11,0,0,0,0,0,0,0,0,false
156,8640,60,0.006944444444,16,1,1,0,0,0,0,0,0,false
157,8640,76,0.008796296296,19,0,0,0,0,0,0,0,0,false
158,8640,79,0.009143518519,16,0,0,0,0,0,0,0,0,false
159,8640,58,0.006712962963,14,0,0,0,0,0,0,0,0,false
160,8640,61,0.007060185185,8,1,1,1,1,1,0,0,0,false
161,8640,79,0.009143518519,12,0,0,0,0,0,0,0,0,false
162,8640,75,0.008680555556,18,0,0,0,0,0,0,0,0,false
163,8640,66,0.007638888889,14,1,1,0,0,0,0,0,0,false
164,8640,68,0.00787037037,15,1,1,0,0,0,0,0,0,false
165,8640,65,0.007523148148,18,3,0,0,0,0,0,0,0,false
166,8640,58,0.006712962963,11,1,0,0,0,0,0,0,0,false
167,8640,61,0.007060185185,17,0,0,0,0,0,0,0,0,false
168,8640,63,0.007291666667,6,1,0,0,0,0,0,0,0,false
169,8640,67,0.00775462963,17,1,0,0,0,0,0,0,0,false
170,8640,58,0.006712962963,14,0,0,0,0,0,0,0,0,false
171,8640,67,0.00775462963,8,1,0,0,0,0,0,0,0,false
172,8640,66,0.007638888889,12,1,1,1,1,1,1,1,1,false
173,8640,60,0.006944444444,17,0,0,0,0,0,0,0,0,false
174,8640,52,0.006018518519,9,0,0,0,0,0,0,0,0,false
175,8640,59,0.006828703704,9,0,0,0,0,0,0,0,0,false
176,8640,66,0.007638888889,12,0,0,0,0,0,0,0,0,false
177,8640,57,0.006597222222,13,0,0,0,0,0,0,0,0,false
178,8640,80,0.009259259259,16,1,1,0,0,0,0,0,0,false
179,8640,65,0.007523148148,16,0,0,0,0,0,0,0,0,false
180,8640,48,0.005555555556,12,1,0,0,0,0,0,0,0,false
181,8640,70,0.008101851852,10,0,0,0,0,0,0,0,0,false
