symbol,date,url,sha256,compressed_bytes,rows,first_id,last_id,ids_unique,timestamps_nondecreasing,timestamp_dates_match_utc
CITYUSDT,2026-07-03,https://public.bybit.com/spot/CITYUSDT/CITYUSDT_2026-07-03.csv.gz,a5e16dbe70aeb371711a4f825c5919a8cf2f8d031cc1921e413d24c13bc7414d,8614,1070,1,1070,true,true,true
CITYUSDT,2026-07-04,https://public.bybit.com/spot/CITYUSDT/CITYUSDT_2026-07-04.csv.gz,d7cc902785f81f22f8131f55631842d4951dcd2728036d6100f3ec7c5ba070b8,9989,1209,1,1209,true,true,true
CITYUSDT,2026-07-05,https://public.bybit.com/spot/CITYUSDT/CITYUSDT_2026-07-05.csv.gz,a10bec93e1bd48d69f60d7238e5cd83ac4bf8b1ef96d3d2f6a02e6c21ff0e542,57843,6985,1,6985,true,true,true
CITYUSDT,2026-07-06,https://public.bybit.com/spot/CITYUSDT/CITYUSDT_2026-07-06.csv.gz,541a0a95f058dd27c1e49ab105e4e3835b46ecdd60b8ce0b1de0e695ba0b5e85,25456,2995,1,2995,true,true,true
CITYUSDT,2026-07-07,https://public.bybit.com/spot/CITYUSDT/CITYUSDT_2026-07-07.csv.gz,5d69f06be3736da4f0df381789558c5a169197e7aa6faea2ba5b2cbe5e6ef0cf,25694,3028,1,3028,true,true,true
CITYUSDT,2026-07-08,https://public.bybit.com/spot/CITYUSDT/CITYUSDT_2026-07-08.csv.gz,259df16f09e8cfb7afa4155c39ecfb168991c203e158a3dfc71e2dc39dbeab90,14821,1777,1,1777,true,true,true
CITYUSDT,2026-07-09,https://public.bybit.com/spot/CITYUSDT/CITYUSDT_2026-07-09.csv.gz,8a6695e0b77116e77018bef31eaa3a5fa3cd7d3b9044dd0334eeabb6067cee43,10298,1282,1,1282,true,true,true
CITYUSDT,2026-07-10,https://public.bybit.com/spot/CITYUSDT/CITYUSDT_2026-07-10.csv.gz,de856d1be5a8383c5b6d6a0c0e73274657ede1f689094319bf5d189d659ef803,16483,2013,1,2013,true,true,true
CITYUSDT,2026-07-11,https://public.bybit.com/spot/CITYUSDT/CITYUSDT_2026-07-11.csv.gz,b30c666f1c47025029c6ad8849768d27bb30c404220e8e64e5b8a821735ff518,9984,1206,1,1206,true,true,true
CITYUSDT,2026-07-12,https://public.bybit.com/spot/CITYUSDT/CITYUSDT_2026-07-12.csv.gz,2202e849723c94087e75a1af9ab3000712edebc24cfb5d4f315facd39b112531,9694,1197,1,1197,true,true,true
