score_rank,selection_rank,symbol,ticker_turnover_24h,trades,download_bytes,notional_3d,price_min,price_max,price_ratio,top1_size_share,top5_size_share,balanced_recurring_top5_share,max_second,max_second_share,second_rank2,top_two_second_share,top_gap_ms,top_gap_share,benford_l1,anomaly_score,followup_candidate,followup_reason
11,22,NAKAUSDT,11820.3635273,3975,35305,61454.98,0.02884,0.03712,1.2871,0.15371069182389938,0.31647798742138367,0.31647,2,0.05106918238993711,52,0.0840251572327044,0,0.2,0.36047,4.42357,no,
12,53,MCDXUSDT,20555.09348,369,3689,16368.85,273.79,282.05,1.0302,0.1111111111111111,0.27371273712737126,0.04065,2,0.18157181571815717,15,0.2926829268292683,0,0.08661,0.49397,4.38984,no,
13,10,INITUSDT,8497.397508,2162,16623,68985.63,0.05281,0.0569,1.0774,0.1091581868640148,0.32377428307123035,0.21323,2,0.09620721554116558,35,0.1711378353376503,0,0.18311,0.61632,4.38438,no,
14,59,L3USDT,21559.8190194,898,9178,52183.17,0.005188,0.005546,1.069,0.045657015590200446,0.11247216035634744,0,2,0.2717149220489978,38,0.321826280623608,0,0.21333,0.32415,3.98574,no,
15,15,C98USDT,9569.330611,2181,18544,95472.47,0.01315,0.01419,1.0791,0.1192113709307657,0.30398899587345257,0.29069,2,0.04264099037138927,57,0.07519486474094451,0,0.12113,0.49345,3.95304,no,
16,57,KAVAUSDT,21465.8970493,2264,19084,58715.73,0.04369,0.0452,1.0346,0.1068904593639576,0.2954946996466431,0.26237,44,0.062279151943462896,1,0.10777385159010601,0,0.23239,0.30851,3.87251,no,
17,21,AVAUSDT,10772.719858,965,8871,54713.51,0.156,0.1689,1.0827,0.16683937823834197,0.2549222797927461,0.23834,0,0.043523316062176166,36,0.07979274611398963,10,0.18696,0.41955,3.81868,no,
18,61,KSMUSDT,22432.626012,2748,22993,60219.62,3.2,3.401,1.0628,0.17831149927219797,0.314410480349345,0.17831,1,0.04039301310043668,2,0.08042212518195051,0,0.21958,0.54255,3.8013,no,
19,78,LRCUSDT,26560.2942691,6476,59327,201830.57,0.01036,0.01165,1.1245,0.169857936998147,0.24953675108091414,0.24397,7,0.033971587399629403,0,0.06639901173563928,0,0.17672,0.48239,3.7737,no,
20,70,PONKEUSDT,24037.2312826,5077,44918,94226.06,0.01987,0.024,1.2079,0.16052787078983652,0.2359661217254284,0.22375,16,0.041166042938743354,33,0.08193815245223557,0,0.26345,0.45648,3.70327,no,
21,76,OBTUSDT,26010.77143964,6452,69874,94551.57,0.0003252,0.000366,1.1255,0.15623062616243025,0.19993800371977682,0.19157,2,0.06742095474271544,38,0.09097954122752634,0,0.0299,0.63787,3.69168,no,
22,49,SSVUSDT,18097.478,1655,14585,52512.25,1.969,2.142,1.0879,0.06767371601208459,0.16978851963746225,0.16797,0,0.12326283987915408,2,0.18429003021148035,0,0.19666,0.42131,3.59521,no,
23,27,CGPTUSDT,12692.4874699,1900,18559,66164.12,0.01819,0.01934,1.0632,0.17210526315789473,0.21052631578947367,0.17211,2,0.06631578947368422,0,0.11052631578947368,0,0.22907,0.28259,3.59344,no,
24,68,HAEDALUSDT,23699.23903,2868,23373,80614.29,0.01553,0.01685,1.085,0.13842398884239887,0.30160390516039054,0.15864,0,0.03905160390516039,2,0.07252440725244072,0,0.09046,0.53833,3.38951,no,
25,64,SUPRAUSDT,22949.4850421,5309,52698,65778.38,0.0002014,0.0002211,1.0978,0.020719532868713506,0.06121680165756263,0.00339,0,0.1844038425315502,59,0.3558108871727256,300,0.19626,0.51232,3.32775,yes,"Manual exploratory follow-up: seconds 00/59 held 35.6% of trades, the leading positive gap was 300 ms, sample size was 5,309, and no exact clip dominated."
26,13,PAALUSDT,9428.726785,1335,12307,42783.41,0.006365,0.007279,1.1436,0.06367041198501873,0.18352059925093633,0.15805,2,0.1101123595505618,26,0.15355805243445692,0,0.23802,0.32066,3.31605,no,
27,29,METHUSDT,12904.7714751,9184,72987,122561.58,1905.19,2072.36,1.0877,0.05019599303135888,0.2339939024390244,0.234,2,0.03212108013937282,46,0.05901567944250871,10,0.26439,1.27569,3.30115,no,
28,79,VETUSDT,26580.812731,1813,15566,56315.32,0.004709,0.005006,1.0631,0.08328736900165472,0.15002757859900717,0.09708,2,0.13568670711527855,1,0.1836734693877551,0,0.14388,0.26306,3.27227,no,
29,31,ZKJUSDT,13618.04001049,3005,29861,54230.16,0.006645,0.007194,1.0826,0.008985024958402662,0.028618968386023295,0.01398,2,0.22296173044925124,3,0.259234608985025,0,0.16564,0.80264,3.23619,no,
30,19,AMZNXUSDT,10339.43742,987,9152,43659.48,243.6,249.79,1.0254,0.07193515704154002,0.1894630192502533,0.14894,2,0.0911854103343465,0,0.1398176291793313,0,0.20223,0.51283,3.20715,no,
31,34,AIOZUSDT,13924.0768875,3741,34374,60280.42,0.04928,0.05177,1.0505,0.09035017375033413,0.1999465383587276,0.12697,2,0.08045977011494253,18,0.12376369954557605,0,0.30458,0.56065,3.13222,no,
32,45,JUVUSDT,16963.974116,3805,32904,75848.82,0.3116,0.367,1.1778,0.012614980289093298,0.046517739816031536,0.03916,2,0.1873850197109067,11,0.21208935611038107,100,0.07052,0.94171,3.10122,no,
33,3,FIDAUSDT,5864.6345341,926,8893,28674.19,0.02086,0.0219,1.0499,0.0734341252699784,0.16198704103671707,0.09827,2,0.11879049676025918,21,0.16630669546436286,0,0.24672,0.31428,3.08845,no,
34,1,KCSUSDT,5014.97044,57,854,6836.36,6.768,7.069,1.0445,0.05263157894736842,0.15789473684210525,0,49,0.14035087719298245,19,0.24561403508771928,0,0.55172,0.5271,3.03277,no,
35,71,MBOXUSDT,24253.51299497,8218,79841,159794.62,0.000754,0.001088,1.443,0.1260647359454855,0.17047943538573862,0.16208,0,0.0333414456072037,57,0.06643952299829642,0,0.19337,0.32761,2.88885,no,
36,55,SUNUSDT,21190.1769517,3467,30233,200048.83,0.01805,0.01861,1.031,0.09720219209691376,0.17190654744736084,0.11422,2,0.07931929622151716,10,0.11537352177675224,0,0.07734,0.32151,2.85785,no,
37,77,PUFFERUSDT,26026.401712,2740,23467,130626.03,0.01308,0.01473,1.1261,0.05145985401459854,0.17846715328467153,0.16386,2,0.06861313868613139,0,0.10364963503649635,0,0.33116,0.3117,2.75623,no,
